CNTYVTD,VTDKEY,GrimesD_20P_U.S. Rep 31,HankeD_20P_U.S. Rep 31,ImamD_20P_U.S. Rep 31,JanjigianD_20P_U.S. Rep 31,MannD_20P_U.S. Rep 31,YoungD_20P_U.S. Rep 31,GrimesD_20P_U.S. Rep 31_Percentage,HankeD_20P_U.S. Rep 31_Percentage,ImamD_20P_U.S. Rep 31_Percentage,JanjigianD_20P_U.S. Rep 31_Percentage,MannD_20P_U.S. Rep 31_Percentage,YoungD_20P_U.S. Rep 31_Percentage
4910411,9591,25,20,53,8,81,26,0.11737089201877934,0.09389671361502347,0.24882629107981222,0.03755868544600939,0.38028169014084506,0.12206572769953052
4910412,9592,7,6,14,3,25,10,0.1076923076923077,0.09230769230769231,0.2153846153846154,0.046153846153846156,0.38461538461538464,0.15384615384615385
4910413,9593,39,13,53,11,84,22,0.17567567567567569,0.05855855855855856,0.23873873873873874,0.04954954954954955,0.3783783783783784,0.0990990990990991
4910415,9594,25,7,34,8,54,12,0.17857142857142858,0.05,0.24285714285714285,0.05714285714285714,0.38571428571428573,0.08571428571428572
4910418,9595,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4910419,9596,11,6,27,3,23,13,0.13253012048192772,0.07228915662650602,0.3253012048192771,0.03614457831325301,0.27710843373493976,0.1566265060240964
4910420,9597,50,26,116,7,110,58,0.1362397820163488,0.07084468664850137,0.31607629427792916,0.01907356948228883,0.2997275204359673,0.15803814713896458
4910421,9598,21,12,32,8,35,28,0.15441176470588236,0.08823529411764706,0.23529411764705882,0.058823529411764705,0.25735294117647056,0.20588235294117646
4910422,9599,79,40,154,16,148,84,0.15163147792706333,0.07677543186180422,0.29558541266794625,0.030710172744721688,0.2840690978886756,0.16122840690978887
4910424,9600,50,34,188,10,211,115,0.08223684210526316,0.05592105263157895,0.3092105263157895,0.01644736842105263,0.3470394736842105,0.18914473684210525
4910425,9601,15,4,11,2,9,7,0.3125,0.08333333333333333,0.22916666666666666,0.041666666666666664,0.1875,0.14583333333333334
4910426,9602,16,7,27,4,40,19,0.1415929203539823,0.061946902654867256,0.23893805309734514,0.035398230088495575,0.35398230088495575,0.168141592920354
4910427,9603,44,16,86,12,110,38,0.1437908496732026,0.05228758169934641,0.28104575163398693,0.0392156862745098,0.35947712418300654,0.12418300653594772
4910428,9604,52,20,88,14,86,38,0.174496644295302,0.06711409395973154,0.2953020134228188,0.04697986577181208,0.28859060402684567,0.12751677852348994
4910429,9605,39,27,87,9,88,36,0.13636363636363635,0.0944055944055944,0.3041958041958042,0.03146853146853147,0.3076923076923077,0.1258741258741259
4910432,9606,6,3,14,2,19,10,0.1111111111111111,0.05555555555555555,0.25925925925925924,0.037037037037037035,0.35185185185185186,0.18518518518518517
4910433,9607,60,37,169,23,246,106,0.093603744149766,0.057722308892355696,0.26365054602184085,0.0358814352574103,0.3837753510140406,0.16536661466458658
4910434,9608,15,8,24,3,21,7,0.19230769230769232,0.10256410256410256,0.3076923076923077,0.038461538461538464,0.2692307692307692,0.08974358974358974
4910436,9609,13,7,40,2,30,15,0.12149532710280374,0.06542056074766354,0.37383177570093457,0.018691588785046728,0.2803738317757009,0.14018691588785046
4910437,9610,103,45,259,26,225,115,0.1332470892626132,0.05821474773609314,0.3350582147477361,0.03363518758085381,0.2910737386804657,0.14877102199223805
4910456,9611,28,20,53,6,55,30,0.14583333333333334,0.10416666666666667,0.2760416666666667,0.03125,0.2864583333333333,0.15625
4910468,9612,17,10,40,5,61,17,0.11333333333333333,0.06666666666666667,0.26666666666666666,0.03333333333333333,0.4066666666666667,0.11333333333333333
4910470,9613,23,12,77,5,82,22,0.10407239819004525,0.05429864253393665,0.34841628959276016,0.02262443438914027,0.37104072398190047,0.09954751131221719
4910471,9614,1,0,10,0,9,0,0.05,0.0,0.5,0.0,0.45,0.0
4910472,9615,7,5,19,2,20,7,0.11666666666666667,0.08333333333333333,0.31666666666666665,0.03333333333333333,0.3333333333333333,0.11666666666666667
4910473,9616,15,9,40,5,35,13,0.1282051282051282,0.07692307692307693,0.3418803418803419,0.042735042735042736,0.29914529914529914,0.1111111111111111
4910482,9617,49,30,135,13,206,60,0.09939148073022312,0.060851926977687626,0.2738336713995943,0.02636916835699797,0.4178498985801217,0.12170385395537525
4910484,9618,67,22,145,13,153,66,0.14377682403433475,0.04721030042918455,0.3111587982832618,0.027896995708154508,0.3283261802575107,0.14163090128755365
4910485,9619,38,11,87,5,94,41,0.13768115942028986,0.03985507246376811,0.31521739130434784,0.018115942028985508,0.34057971014492755,0.14855072463768115
4910486,9620,14,11,59,7,57,16,0.08536585365853659,0.06707317073170732,0.3597560975609756,0.042682926829268296,0.3475609756097561,0.0975609756097561
4910487,9621,1,1,8,0,6,2,0.05555555555555555,0.05555555555555555,0.4444444444444444,0.0,0.3333333333333333,0.1111111111111111
4910488,9622,53,15,167,12,150,72,0.11300639658848614,0.031982942430703626,0.35607675906183367,0.0255863539445629,0.31982942430703626,0.1535181236673774
4910489,9623,66,31,143,9,174,96,0.12716763005780346,0.05973025048169557,0.27552986512524086,0.017341040462427744,0.3352601156069364,0.18497109826589594
4910490,9624,80,28,176,10,180,111,0.13675213675213677,0.04786324786324787,0.30085470085470084,0.017094017094017096,0.3076923076923077,0.18974358974358974
4910491,9625,76,24,191,21,175,79,0.13427561837455831,0.04240282685512368,0.3374558303886926,0.037102473498233215,0.30918727915194344,0.13957597173144876
