CNTYVTD,VTDKEY,KimbroughD_18P_U.S. Sen,HernandezD_18P_U.S. Sen,O'RourkeD_18P_U.S. Sen
2010466,4700,69,63,164
2010467,4701,45,26,30
2010468,4702,68,61,73
2010469,4703,7,16,76
2010470,4704,11,5,15
2010471,4705,6,18,38
2010472,4706,9,5,174
2010473,4707,9,25,120
2010474,4708,7,10,36
2010475,4709,8,16,21
2010476,4710,13,16,35
2010477,4711,33,53,103
2010478,4712,18,37,107
2010479,4713,10,28,116
2010480,4714,19,20,58
2010481,4715,12,16,82
2010482,4716,19,33,104
2010483,4717,35,93,262
2010484,4718,21,43,106
2010485,4719,21,39,86
2010486,4720,22,24,112
2010487,4721,29,44,58
2010488,4722,28,40,56
2010489,4723,48,43,122
2010490,4724,39,62,160
2010491,4725,12,24,145
2010492,4726,14,23,118
2010493,4727,52,62,88
2010494,4728,74,39,71
2010495,4729,23,34,109
2010496,4730,23,36,56
2010497,4731,70,41,37
2010498,4732,19,13,66
2010499,4733,19,30,179
2010500,4734,35,48,98
2010501,4735,11,32,273
2010502,4736,12,9,28
2010503,4737,9,16,45
2010504,4738,12,18,184
2010505,4739,32,57,309
2010506,4740,204,133,184
2010507,4741,10,19,20
2010508,4742,45,61,93
2010509,4743,14,30,80
2010510,4744,38,80,191
2010511,4745,14,21,38
2010512,4746,51,78,133
2010513,4747,13,29,108
2010514,4748,24,31,137
2010515,4749,6,22,77
2010516,4750,34,38,68
2010517,4751,21,33,83
2010518,4752,32,61,131
2010519,4753,13,25,79
2010520,4754,4,3,4
2010521,4755,47,57,83
2010522,4756,13,28,148
2010523,4757,19,41,104
2010524,4758,45,65,101
2010525,4759,137,102,170
2010526,4760,5,24,14
2010527,4761,1,5,4
2010528,4762,30,19,25
2010529,4763,8,8,54
2010530,4764,4,21,18
2010531,4765,21,23,48
2010532,4766,4,8,23
2010533,4767,7,9,22
2010534,4768,5,11,29
2010535,4769,1,7,8
2010536,4770,38,75,74
2010537,4771,23,33,109
2010538,4772,118,74,98
2010539,4773,14,17,30
2010540,4774,9,20,294
2010541,4775,51,51,93
2010542,4776,123,66,89
2010543,4777,9,52,50
2010544,4778,9,2,6
2010545,4779,28,39,52
2010546,4780,9,10,68
2010547,4781,10,32,78
2010548,4782,27,50,58
2010549,4783,76,57,79
2010550,4784,27,42,65
2010551,4785,14,18,78
2010552,4786,17,21,93
2010553,4787,26,44,60
2010554,4788,49,49,60
2010555,4789,45,28,56
2010556,4790,29,31,36
2010557,4791,13,27,32
2010558,4792,22,28,46
2010559,4793,65,69,153
2010560,4794,6,25,29
2010561,4795,13,34,63
2010562,4796,21,25,18
2010563,4797,10,22,93
2010564,4798,71,72,239
2010565,4799,11,8,11
2010566,4800,42,36,108
2010567,4801,35,47,82
2010568,4802,15,33,244
2010569,4803,31,48,277
2010570,4804,10,29,166
2010571,4805,9,10,14
2010572,4806,23,59,171
2010573,4807,88,38,76
2010574,4808,10,6,11
2010575,4809,28,46,81
2010576,4810,126,65,101
2010577,4811,5,22,127
2010578,4812,9,6,219
2010579,4813,18,17,18
2010580,4814,40,24,30
2010581,4815,68,25,32
2010582,4816,66,29,23
2010583,4817,50,30,21
2010584,4818,181,94,90
2010585,4819,87,42,39
2010586,4820,22,34,61
2010587,4821,59,42,64
2010588,4822,38,55,134
2010589,4823,16,36,49
2010590,4824,12,16,87
2010591,4825,9,33,37
2010592,4826,31,20,48
2010593,4827,46,86,132
2010594,4828,86,72,118
2010595,4829,28,37,15
2010596,4830,31,31,65
2010597,4831,25,20,43
2010598,4832,40,56,66
2010599,4833,13,12,18
2010600,4834,53,67,107
2010601,4835,24,50,150
2010602,4836,8,20,40
2010603,4837,18,37,71
2010604,4838,19,17,59
2010605,4839,58,48,52
2010606,4840,45,21,18
2010607,4841,12,7,8
2010608,4842,6,21,19
2010609,4843,41,52,167
2010610,4844,13,25,74
2010611,4845,140,51,48
2010612,4846,19,36,133
2010613,4847,51,37,52
2010614,4848,115,65,118
2010615,4849,38,30,52
2010616,4850,20,39,137
2010617,4851,45,101,108
2010618,4852,39,46,81
2010619,4853,30,39,223
2010620,4854,13,57,110
2010621,4855,5,14,40
2010622,4856,38,61,115
2010623,4857,27,55,116
2010624,4858,2,6,9
2010625,4859,39,51,225
2010626,4860,44,55,256
2010627,4861,36,36,63
2010628,4862,16,29,47
2010629,4863,4,1,2
2010630,4864,202,145,241
2010631,4865,22,26,78
2010632,4866,0,0,1
2010633,4867,30,44,145
2010634,4868,33,31,67
2010635,4869,15,29,81
2010636,4870,11,8,19
2010637,4871,24,97,207
2010638,4872,95,49,60
2010639,4873,9,19,55
2010640,4874,39,59,105
2010641,4875,35,52,118
2010642,4876,9,20,66
2010643,4877,46,93,136
2010644,4878,16,61,140
2010645,4879,25,37,112
2010646,4880,33,37,55
2010647,4881,39,48,54
2010648,4882,22,43,98
2010649,4883,71,49,97
2010650,4884,23,38,145
2010651,4885,37,42,105
2010652,4886,152,87,113
2010653,4887,16,12,9
2010654,4888,36,45,101
2010655,4889,39,46,121
2010656,4890,27,12,11
2010657,4891,30,23,62
2010658,4892,32,31,86
2010659,4893,33,44,68
2010660,4894,166,89,116
2010661,4895,27,29,92
2010662,4896,10,16,41
2010663,4897,4,8,56
2010664,4898,38,67,56
2010665,4899,10,15,42
2010666,4900,0,0,0
2010667,4901,10,24,83
2010668,4902,22,45,90
2010669,4903,25,41,119
2010670,4904,14,18,135
2010671,4905,34,49,99
2010672,4906,35,37,71
2010673,4907,17,26,68
2010674,4908,33,46,116
2010675,4909,7,10,20
2010675,4910,0,0,0
2010676,4911,30,68,64
2010677,4912,14,26,31
2010678,4913,60,52,57
2010679,4914,2,4,25
2010680,4915,1,1,20
2010681,4916,0,0,11
2010682,4917,21,24,63
2010683,4918,2,4,8
2010684,4919,25,31,77
2010685,4920,1,5,17
2010686,4921,2,1,6
2010687,4922,16,29,105
2010688,4923,19,26,104
2010689,4924,8,10,24
2010690,4925,15,30,97
2010691,4926,15,26,64
2010692,4927,6,23,84
2010693,4928,30,27,56
2010694,4929,11,19,29
2010695,4930,9,14,28
2010696,4931,12,18,27
2010697,4932,68,49,70
2010698,4933,50,32,33
2010699,4934,16,32,133
2010700,4935,11,17,21
2010701,4936,3,9,6
2010702,4937,19,8,17
2010703,4938,18,29,162
2010704,4939,8,13,68
2010705,4940,11,23,17
2010706,4941,19,32,84
2010707,4942,3,9,44
2010708,4943,0,11,12
2010709,4944,46,94,137
2010710,4945,9,23,231
2010711,4946,47,66,194
2010712,4947,43,105,94
2010713,4948,12,32,57
2010714,4949,2,9,4
2010715,4950,7,12,19
2010716,4951,12,19,61
2010717,4952,73,37,85
2010718,4953,18,22,162
2010719,4954,16,19,29
2010720,4955,10,16,49
2010721,4956,14,36,157
2010722,4957,247,130,157
2010723,4958,130,99,143
2010724,4959,4,9,31
2010725,4960,57,50,72
2010726,4961,6,1,20
2010727,4962,10,16,36
2010728,4963,7,18,55
2010729,4964,2,3,20
2010730,4965,20,28,154
2010731,4966,27,49,81
2010732,4967,18,23,101
2010733,4968,0,2,3
2010734,4969,18,19,43
2010735,4970,13,22,56
2010736,4971,8,16,179
2010737,4972,0,0,0
2010738,4973,11,10,8
2010739,4974,18,31,42
2010740,4975,0,3,4
2010741,4976,54,51,53
2010742,4977,7,11,39
2010743,4978,0,3,6
2010744,4979,16,20,126
2010745,4980,10,34,168
2010746,4981,11,15,28
2010747,4982,32,40,64
2010748,4983,5,18,48
2010749,4984,4,3,6
2010750,4985,4,8,27
2010751,4986,16,30,63
2010752,4987,8,9,22
2010753,4988,9,14,13
2010754,4989,29,18,18
2010755,4990,21,58,72
2010756,4991,25,28,37
2010757,4992,86,74,86
2010758,4993,4,12,63
2010759,4994,21,34,58
2010760,4995,11,13,68
2010761,4996,11,24,108
2010762,4997,17,18,32
2010763,4998,1,11,25
2010764,4999,31,40,53
2010765,5000,37,36,78
2010766,5001,2,9,10
2010767,5002,0,2,1
2010768,5003,6,26,71
2010769,5004,10,12,5
2010770,5005,0,3,7
2010771,5006,12,8,38
2010772,5007,32,36,184
2010773,5008,45,46,52
2010774,5009,4,6,3
2010775,5010,6,25,226
2010776,5011,48,43,57
2010777,5012,4,10,3
2010778,5013,7,7,11
2010779,5014,5,18,10
2010780,5015,7,6,3
2010781,5016,22,56,60
2010782,5017,11,28,98
2010783,5018,11,13,11
2010784,5019,41,14,19
2010785,5020,17,17,49
2010786,5021,5,22,12
2010787,5022,5,9,14
2010788,5023,4,10,10
2010789,5024,35,30,81
2010790,5025,45,74,90
2010791,5026,0,0,0
2010792,5027,31,42,51
2010793,5028,15,28,64
2010794,5029,9,3,4
2010795,5030,5,15,38
2010796,5031,30,57,91
2010797,5032,0,0,0
2010798,5033,7,21,43
2010799,5034,27,38,31
2010800,5035,40,55,144
2010801,5036,5,8,9
2010802,5037,0,0,0
2010803,5038,43,76,170
2010804,5039,23,36,70
2010805,5040,13,18,77
2010806,5041,17,34,69
2010807,5042,22,31,56
2010808,5043,0,0,0
2010809,5044,0,2,0
2010810,5045,2,6,2
2010811,5046,1,17,8
2010812,5047,0,0,0
2010813,5048,43,64,105
2010814,5049,31,38,55
2010815,5050,0,0,0
2010816,5051,0,0,2
2010817,5052,11,17,51
2010818,5053,12,10,14
2010819,5054,1,2,18
2010820,5055,10,14,21
2010821,5056,17,32,26
2010822,5057,66,33,47
2010823,5058,30,49,63
2010824,5059,62,66,68
2010825,5060,22,24,39
2010826,5061,1,1,32
2010827,5062,6,15,9
2010828,5063,12,16,57
2010829,5064,5,2,9
2010830,5065,0,0,0
2010831,5066,1,0,0
2010832,5067,2,5,4
2010833,5068,0,0,0
2010834,5069,12,6,6
2010835,5070,0,6,9
2010836,5071,16,17,11
2010837,5072,0,0,0
2010838,5073,0,0,0
2010839,5074,14,23,46
2010840,5075,64,40,37
2010841,5076,74,70,67
2010842,5077,21,51,55
2010843,5078,73,51,65
2010844,5079,13,24,70
2010845,5080,8,3,8
2010846,5081,4,3,7
2010847,5082,53,53,47
2010848,5083,82,49,116
2010849,5084,29,41,58
2010850,5085,4,6,20
2010851,5086,34,48,93
2010852,5087,14,23,56
2010853,5088,11,22,82
2010854,5089,2,1,2
2010855,5090,28,28,71
2010856,5091,0,0,0
2010857,5092,0,0,0
2010858,5093,16,7,6
2010859,5094,29,25,37
2010860,5095,12,15,86
2010861,5096,71,46,58
2010862,5097,46,64,100
2010863,5098,23,14,14
2010864,5099,31,25,50
2010865,5100,24,37,197
2010866,5101,0,0,0
2010867,5102,28,32,32
2010868,5103,32,31,33
2010869,5104,3,4,8
2010870,5105,0,0,0
2010871,5106,0,0,3
2010872,5107,3,10,4
2010873,5108,17,13,22
2010874,5109,17,22,126
2010875,5110,44,74,96
2010876,5111,12,21,39
2010877,5112,26,42,52
2010878,5113,4,5,22
2010879,5114,36,43,72
2010880,5115,10,14,65
2010881,5116,30,43,50
2010882,5117,56,68,103
2010883,5118,48,50,65
2010884,5119,16,17,5
2010885,5120,47,52,76
2010886,5121,3,10,56
2010887,5122,1,4,42
2010888,5123,45,31,35
2010889,5124,2,5,21
2010890,5125,5,11,111
2010891,5126,23,28,195
2010892,5127,7,15,76
2010893,5128,6,8,22
2010894,5129,31,38,24
2010895,5130,2,9,191
2010896,5131,3,15,336
2010897,5132,27,22,55
2010898,5133,23,49,71
2010899,5134,6,11,69
2010900,5135,0,0,3
2010901,5136,26,28,63
2010902,5137,7,24,248
2010903,5138,12,13,48
2010904,5139,0,0,0
2010905,5140,5,19,24
2010906,5141,17,23,66
2010907,5142,3,4,6
2010908,5143,0,0,0
2010909,5144,9,19,42
2010910,5145,1,6,8
2010911,5146,2,5,7
2010912,5147,15,14,27
2010913,5148,2,2,3
2010914,5149,0,6,2
2010915,5150,15,14,38
2010916,5151,9,13,51
2010917,5152,0,0,0
2010918,5153,0,0,0
2010919,5154,10,29,301
2010920,5155,2,3,6
2010921,5156,1,2,7
2010922,5157,0,0,0
2010923,5158,13,39,101
2010924,5159,0,0,0
2010925,5160,0,0,0
2010926,5161,17,21,55
2010927,5162,21,43,356
2010928,5163,0,0,8
2010929,5164,0,0,0
2010930,5165,22,14,14
2010931,5166,0,2,14
2010932,5167,0,0,0
2010933,5168,20,7,42
2010934,5169,1,0,1
2010935,5170,32,40,76
2010936,5171,3,2,0
2010937,5172,10,24,251
2010938,5173,4,3,7
2010939,5174,0,0,0
2010940,5175,0,2,1
2010941,5176,10,21,39
2010942,5177,1,5,3
2010943,5178,3,7,5
2010944,5179,1,0,2
2010945,5180,0,1,2
2010946,5181,7,11,29
2010947,5182,4,14,135
2010948,5183,4,4,23
2010949,5184,27,29,73
2010950,5185,0,0,0
2010951,5186,5,7,6
2010952,5187,5,7,22
2010953,5188,2,6,17
2010954,5189,18,14,17
2010955,5190,7,14,71
2010956,5191,37,33,40
2010957,5192,19,20,28
2010958,5193,20,14,29
2010959,5194,0,0,0
2010960,5195,60,57,52
2010961,5196,39,23,31
2010962,5197,0,0,17
2010963,5198,3,7,9
2010964,5199,29,30,49
2010965,5200,2,3,4
2010966,5201,12,15,24
2010967,5202,37,24,35
2010968,5203,25,25,26
2010969,5204,40,23,34
2010970,5205,25,9,12
2010971,5206,5,4,53
2010972,5207,8,25,82
2010973,5208,4,3,54
2010974,5209,19,33,40
2010975,5210,2,4,25
2010976,5211,1,4,7
2010977,5212,17,11,14
2010978,5213,0,2,10
2010979,5214,0,0,0
2010980,5215,13,15,55
2010981,5216,0,0,2
2010982,5217,11,10,44
2010983,5218,51,67,101
2010984,5219,2,0,2
2010985,5220,5,12,31
2010986,5221,8,5,16
2010987,5222,50,30,30
2010988,5223,16,23,42
2010989,5224,0,0,0
2010990,5225,0,0,0
2010991,5226,5,5,20
2010992,5227,7,24,28
2010993,5228,0,0,0
2010994,5229,53,57,103
2010995,5230,71,59,79
2010996,5231,13,17,32
2010997,5232,23,10,17
2010998,5233,0,0,0
2010999,5234,0,0,0
2011000,5235,5,5,1
2011001,5236,18,26,37
2011002,5237,13,12,13
2011003,5238,4,4,4
2011004,5239,6,9,72
2011005,5240,0,0,0
2011006,5241,53,35,55
2011007,5242,33,42,36
2011008,5243,8,10,23
2011009,5244,2,4,6
2011010,5245,18,18,30
2011011,5246,1,0,1
2011012,5247,23,21,35
2011013,5248,0,0,0
2011014,5249,0,0,0
2011015,5250,0,0,0
2011016,5251,32,43,96
2011017,5252,12,10,12
2011018,5253,0,0,0
2011019,5254,5,4,4
2011020,5255,23,18,27
2011021,5256,7,11,33
2011022,5257,20,33,58
2011023,5258,15,16,19
2011024,5259,2,3,9
2011025,5260,14,14,23
2011026,5261,23,23,28
2011027,5262,4,5,11
2011028,5263,75,63,70
2011029,5264,12,24,76
2011030,5265,1,4,4
2011031,5266,8,15,36
2011032,5267,2,4,9
2011033,5268,5,8,20
2011034,5269,22,22,44
2011035,5270,0,0,4
2011036,5271,0,1,2
2011037,5272,23,30,51
2011038,5273,21,25,44
2011039,5274,0,0,0
2011040,5275,20,11,37
2011041,5276,27,22,57
2011042,5277,18,32,51
2011043,5278,11,20,87
2011044,5279,3,3,4
2011045,5280,7,8,13
2011046,5281,13,18,32
2011047,5282,8,13,35
2011048,5283,4,6,17
2011049,5284,7,11,12
2011050,5285,74,40,39
2011051,5286,0,0,0
2011052,5287,0,0,0
2011053,5288,17,11,53
2011054,5289,14,34,98
2011055,5290,15,18,39
2011056,5291,17,18,35
2011057,5292,0,0,0
2011058,5293,4,4,7
2011059,5294,13,18,51
2011060,5295,43,31,45
2011061,5296,27,20,37
2011062,5297,8,13,45
2011063,5298,22,51,51
2011064,5299,46,56,76
2011065,5300,15,20,69
2011066,5301,0,0,0
2011067,5302,27,32,60
2011068,5303,38,42,74
2011069,5304,0,0,0
2011070,5305,2,2,2
2011071,5306,35,38,73
2011072,5307,13,23,30
2011073,5308,0,0,0
2011074,5309,11,9,15
2011075,5310,0,0,0
2011076,5311,45,64,63
2011077,5312,66,70,80
2011078,5313,14,25,45
2011079,5314,74,54,60
2011080,5315,11,12,36
2011081,5316,5,2,5
2011082,5317,0,0,0
2011083,5318,0,0,0
2011084,5319,4,4,17
2011085,5320,9,9,17
2011086,5321,11,28,80
2011087,5322,20,31,100
2011088,5323,7,10,20
2011089,5324,0,0,0
2011090,5325,4,4,8
2011091,5326,25,33,91
2011092,5327,8,6,31
2011093,5328,7,14,37
2011094,5329,0,0,0
2011095,5330,8,15,47
2011096,5331,15,25,51
2011097,5332,15,20,26
2011098,5333,55,41,37
2011099,5334,0,0,0
2011100,5335,6,9,15
2011101,5336,6,8,74
2011102,5337,14,23,68
2011103,5338,13,26,39
2011104,5339,14,18,37
2011105,5340,2,2,2
2011106,5341,7,12,9
2011107,5342,1,1,5
2011108,5343,2,4,4
2011109,5344,0,1,2
2011110,5345,8,17,46
2011111,5346,14,25,48
2011112,5347,8,18,58
2011113,5348,26,64,79
2011114,5349,65,53,65
2011115,5350,4,9,13
2011116,5351,17,17,27
2011117,5352,39,48,71
2011118,5353,40,40,77
2011119,5354,0,0,0
2011120,5355,10,11,31
2011121,5356,4,2,3
2011122,5357,17,15,15
2011123,5358,16,22,46
2011124,5359,0,0,0
2011125,5360,0,0,0
2011126,5361,31,35,49
2011127,5362,17,21,33
2011128,5363,16,28,73
2011129,5364,0,0,0
2011130,5365,5,12,14
2011131,5366,1,3,11
2011132,5367,0,0,0
2011133,5368,0,1,1
2011134,5369,14,22,45
2011135,5370,29,46,75
2011136,5371,35,49,57
2011137,5372,24,39,40
2011138,5373,24,29,41
2011139,5374,60,51,68
2011140,5375,4,3,4
2011141,5376,0,0,0
2011142,5377,1,1,3
2011143,5378,0,0,0
2011144,5379,7,9,80
2011145,5380,12,18,82
2011146,5381,8,17,61
2011147,5382,3,2,2
2011148,5383,25,14,20
2011149,5384,36,36,70
2011150,5385,0,0,0
2011151,5386,8,11,46
2011152,5387,1,1,3
2011153,5388,0,0,0
2011154,5389,0,0,0
2011155,5390,0,0,0
2011156,5391,0,0,0
2011157,5392,0,0,0
2011158,5393,0,0,0
2011159,5394,0,0,0
2011160,5395,0,0,0
2011161,5396,0,0,0
2011162,5397,0,0,0
2011163,5398,0,0,0
2011164,5399,0,0,0
2011165,5400,0,0,0
2011166,5401,1,4,14
2011167,5402,92,56,90
2011168,5403,2,9,25
2011169,5404,2,7,15
2011170,5405,17,18,39
2011171,5406,7,14,54
2011172,5407,25,35,80
2030001,5408,42,31,43
2030002,5409,35,21,43
2030003,5410,79,46,51
2030004,5411,18,10,21
2030005,5412,7,8,10
2030006,5413,9,9,10
2030007,5414,15,14,11
2030008,5415,25,22,51
2030009,5416,19,13,19
2030010,5417,13,11,8
2030011,5418,5,6,12
2030012,5419,14,8,15
2030013,5420,7,4,27
2030014,5421,15,10,12
2030015,5422,6,2,12
2030016,5423,4,3,7
2030017,5424,36,29,23
2030018,5425,7,12,33
2030019,5426,17,8,38
2030020,5427,24,17,27
2030021,5428,7,11,5
2030022,5429,36,28,35
2030023,5430,0,0,3
2030024,5431,14,7,12
2030025,5432,14,8,37
2030026,5433,10,5,19
2050101,5434,1,0,1
2050102,5435,0,0,1
2050201,5436,2,0,4
2050202,5437,3,2,4
2050301,5438,2,3,3
2050401,5439,2,2,2
2070001,5440,6,1,0
2070002,5441,11,5,10
2070003,5442,11,3,11
2070004,5443,1,1,6
2070005,5444,4,3,2
2070006,5445,2,2,5
2070007,5446,0,0,0
2070008,5447,5,1,3
2070009,5448,2,0,3
2070010,5449,9,0,3
2090100,5450,0,0,0
2090101,5451,0,0,0
2090102,5452,0,0,0
2090103,5453,0,0,0
2090110,5454,12,43,111
2090112,5455,15,68,193
2090113,5456,8,43,129
2090114,5457,7,50,115
2090115,5458,8,44,100
2090120,5459,3,21,63
2090121,5460,10,45,150
2090125,5461,4,7,37
2090128,5462,2,7,17
2090132,5463,5,14,98
2090134,5464,5,8,57
2090136,5465,6,21,47
2090140,5466,3,30,108
2090141,5467,1,9,74
2090142,5468,0,7,89
2090146,5469,0,0,0
2090200,5470,0,0,0
2090203,5471,17,46,160
2090204,5472,1,2,5
2090205,5473,11,34,110
2090206,5474,10,38,116
2090216,5475,1,3,9
2090219,5476,2,5,26
2090220,5477,16,29,275
2090221,5478,8,10,75
2090223,5479,12,47,147
2090225,5480,1,1,8
2090227,5481,14,33,150
2090228,5482,3,5,30
2090231,5483,14,28,119
2090252,5484,11,21,80
2090253,5485,6,24,91
2090254,5486,4,8,30
2090314,5487,13,29,150
2090315,5488,12,33,170
2090316,5489,20,63,274
2090319,5490,6,21,85
2090320,5491,10,22,186
2090325,5492,4,5,46
2090332,5493,8,34,292
2090333,5494,14,32,259
2090335,5495,22,40,313
2090336,5496,13,31,246
2090337,5497,14,44,244
2090338,5498,16,39,244
2090339,5499,10,10,96
2090340,5500,9,27,234
2090342,5501,8,17,37
2090344,5502,12,30,219
2090347,5503,9,23,153
2090351,5504,1,8,51
2090371,5505,10,32,104
2090372,5506,0,1,3
2090373,5507,2,3,16
2090374,5508,1,3,13
2090375,5509,0,2,3
2090376,5510,0,1,6
2090400,5511,0,0,0
2090422,5512,7,24,166
2090423,5513,9,21,89
2090424,5514,10,23,142
2090425,5515,8,5,63
2090426,5516,17,34,249
2090430,5517,6,10,144
2090432,5518,9,16,126
2090435,5519,15,28,191
2090436,5520,6,8,101
2090438,5521,1,2,17
2090440,5522,1,3,28
2090441,5523,13,20,180
2090442,5524,7,23,267
2090443,5525,8,14,185
2090444,5526,3,9,74
2090445,5527,6,17,153
2090446,5528,6,10,119
2090448,5529,10,18,177
2090449,5530,5,12,102
2090450,5531,4,8,61
2090451,5532,7,13,153
2090452,5533,4,14,118
2090453,5534,0,0,0
2090455,5535,0,0,0
2090456,5536,0,0,0
2110101,5537,3,0,3
2110201,5538,1,2,1
2110202,5539,0,0,0
2110301,5540,0,0,1
2110302,5541,0,0,0
2110303,5542,0,0,2
2110401,5543,0,0,1
2110402,5544,0,0,0
2130001,5545,4,3,7
2130002,5546,0,1,4
2130003,5547,27,33,14
2130004,5548,7,8,35
213001,5549,12,9,22
213001,5550,25,31,29
213001,5551,17,16,35
213002,5552,11,9,21
213002,5553,7,7,10
213003,5554,17,11,18
213003,5555,17,8,23
213003,5556,9,6,10
213003,5557,6,3,18
213004,5558,1,8,13
213004,5559,11,10,29
213004,5560,6,7,13
21301,5561,16,9,15
21301,5562,12,15,20
21301,5563,23,20,34
21303,5564,17,9,11
21303,5565,4,4,9
21303,5566,6,9,13
21304,5567,21,28,46
21304,5568,22,19,28
21304,5569,18,32,48
2132,5570,15,19,29
2132,5571,11,11,33
2132,5572,13,19,27
2132,5573,12,15,38
2134,5574,10,7,11
2150001,5575,4,28,14
2150002,5576,11,44,50
2150003,5577,8,41,50
2150004,5578,16,169,183
2150005,5579,8,58,46
2150006,5580,10,63,92
2150007,5581,35,100,217
2150008,5582,26,51,117
2150009,5583,19,152,257
2150010,5584,20,152,148
2150011,5585,22,158,160
2150012,5586,4,11,24
2150013,5587,40,220,333
2150014,5588,19,110,147
2150015,5589,5,26,28
2150016,5590,34,330,278
2150017,5591,22,144,111
2150018,5592,1,25,15
2150019,5593,9,9,28
2150020,5594,13,102,59
2150021,5595,1,12,6
2150022,5596,2,35,35
2150023,5597,16,61,84
2150024,5598,2,2,3
2150025,5599,11,79,147
2150026,5600,6,29,49
2150027,5601,6,34,29
2150028,5602,8,66,98
2150029,5603,2,23,26
2150030,5604,34,258,236
2150031,5605,18,119,95
2150032,5606,14,108,115
2150033,5607,22,149,121
2150034,5608,5,41,55
2150035,5609,22,103,173
2150036,5610,38,162,263
2150037,5611,10,29,40
2150038,5612,29,116,163
2150039,5613,9,74,75
2150040,5614,5,68,36
2150041,5615,12,86,72
2150042,5616,17,129,121
2150043,5617,13,104,84
2150044,5618,10,54,48
2150045,5619,13,61,92
2150046,5620,2,7,10
2150047,5621,8,59,56
2150048,5622,17,113,90
2150049,5623,13,99,127
2150050,5624,26,172,142
2150051,5625,26,163,149
2150052,5626,46,212,322
2150053,5627,25,186,186
2150054,5628,16,82,87
2150055,5629,10,87,65
2150056,5630,9,120,94
2150057,5631,5,22,26
2150058,5632,10,95,121
2150059,5633,9,70,84
2150060,5634,6,91,101
2150061,5635,13,74,83
2150062,5636,37,83,261
2150063,5637,6,30,45
2150064,5638,6,61,71
2150065,5639,15,86,108
2150066,5640,7,25,76
2150067,5641,20,80,192
2150068,5642,32,182,163
2150069,5643,25,147,141
2150070,5644,1,54,43
2150071,5645,0,6,5
2150072,5646,7,32,97
2150073,5647,43,97,246
2150074,5648,4,29,29
2150075,5649,1,1,1
2150076,5650,0,0,1
2150077,5651,12,73,77
2150078,5652,13,78,103
2150079,5653,13,84,70
2150080,5654,6,70,42
2150081,5655,13,85,114
2150082,5656,0,1,0
2150083,5657,24,117,199
2150084,5658,14,71,95
2150085,5659,13,112,116
2150086,5660,4,31,45
2150087,5661,4,22,19
2150088,5662,19,80,77
2150089,5663,0,0,1
2150090,5664,54,451,355
2150091,5665,2,36,20
2150092,5666,1,11,8
2150093,5667,5,1,8
2150094,5668,12,112,114
2150095,5669,19,135,81
2150096,5670,33,107,225
2150097,5671,4,66,138
2150098,5672,25,158,230
2150099,5673,14,93,95
2150100,5674,20,179,171
2150101,5675,6,34,45
2150102,5676,9,19,48
2150103,5677,32,158,272
2150104,5678,27,145,114
2150105,5679,39,212,230
2150106,5680,35,169,253
2150107,5681,33,181,227
2150108,5682,30,203,174
2150109,5683,19,137,188
2150110,5684,1,27,24
2150111,5685,17,90,134
2150112,5686,9,62,77
2150113,5687,35,118,184
2150114,5688,33,125,229
2150115,5689,15,107,128
2150116,5690,11,42,67
2150117,5691,11,97,103
2150118,5692,8,102,120
2150119,5693,13,84,77
2150120,5694,11,94,69
2150121,5695,0,4,9
2150122,5696,4,59,40
2150123,5697,8,49,79
2150124,5698,18,58,115
2150125,5699,2,31,50
2150126,5700,8,59,74
2150127,5701,12,49,71
2150128,5702,4,77,70
2150129,5703,5,8,17
2150130,5704,4,32,25
2150131,5705,1,3,1
2150132,5706,3,50,31
2150133,5707,1,0,4
2150134,5708,55,71,245
2150135,5709,7,39,99
2150136,5710,17,49,136
2150137,5711,0,1,4
2150138,5712,2,23,12
2150139,5713,3,15,20
2150140,5714,0,1,1
2150141,5715,0,1,7
2150142,5716,12,117,91
2150143,5717,35,228,221
2150144,5718,1,3,2
2150145,5719,8,41,49
2150146,5720,8,76,52
2150147,5721,0,6,0
2150148,5722,0,1,2
2150149,5723,0,6,2
2150150,5724,5,13,38
2150151,5725,38,199,307
2150152,5726,32,176,194
2150153,5727,4,14,13
2150154,5728,23,166,125
2150155,5729,8,20,15
2150156,5730,9,103,102
2150157,5731,6,24,31
2150158,5732,32,138,122
2150159,5733,4,23,13
2150160,5734,0,4,12
2150161,5735,12,55,94
2150162,5736,11,23,65
2150163,5737,10,47,52
2150164,5738,14,51,72
2150165,5739,6,22,32
2150166,5740,3,14,22
2150167,5741,9,20,35
2150168,5742,3,15,17
2150169,5743,2,22,26
2150170,5744,6,41,22
2150171,5745,0,0,0
2150172,5746,1,0,2
2150173,5747,13,31,35
2150174,5748,2,19,34
2150175,5749,4,34,42
2150176,5750,7,38,37
2150177,5751,3,23,33
2150178,5752,0,0,0
2150179,5753,4,12,15
2150180,5754,2,12,5
2150181,5755,10,20,23
2150182,5756,1,20,18
2150183,5757,19,89,73
2150184,5758,0,0,0
2150185,5759,0,0,0
2150186,5760,3,11,9
2150187,5761,20,77,80
2150188,5762,8,33,56
2150189,5763,2,19,16
2150190,5764,2,14,9
2150191,5765,0,19,19
2150192,5766,1,12,16
2150193,5767,1,6,19
2150194,5768,15,66,90
2150195,5769,2,27,27
2150196,5770,8,26,29
2150197,5771,4,31,16
2150198,5772,12,84,71
