CNTYVTD,VTDKEY,BinkleyR_24P_President,HaleyR_24P_President,StuckenbergR_24P_President,TrumpR_24P_President,ChristieR_24P_President,RamaswamyR_24P_President,HutchinsonR_24P_President,DeSantisR_24P_President,UncommittedR_24P_President
1132152,2348,0,15,0,54,0,0,0,1,0
1132153,2349,0,24,0,38,1,1,0,2,0
1132154,2350,0,0,0,0,0,1,0,0,0
1132155,2351,0,99,0,87,0,2,0,3,3
1132200,2352,0,213,0,298,2,0,0,3,7
1132201,2353,0,211,0,264,2,3,0,12,3
1132202,2354,0,236,0,270,0,2,2,6,8
1132203,2355,0,184,0,205,5,3,1,9,5
1132220,2356,0,248,1,297,1,4,0,9,11
1132221,2357,1,461,0,583,3,8,2,22,24
1132222,2358,1,309,0,435,2,2,0,13,14
1132223,2359,0,149,0,207,0,0,1,5,8
1132224,2360,0,102,0,171,2,0,0,4,9
1132225,2361,1,204,0,232,0,4,1,8,9
1132226,2362,0,294,1,458,1,5,0,18,13
1132300,2363,0,14,0,83,0,0,0,0,2
1132301,2364,0,129,0,334,2,1,1,14,8
1132302,2365,0,7,0,54,0,2,0,1,2
1132303,2366,2,58,2,197,1,7,0,5,3
1132305,2367,0,22,0,106,0,0,0,2,1
1132306,2368,2,39,0,121,0,1,1,0,5
1132307,2369,0,24,1,58,0,0,0,1,2
1132308,2370,0,35,1,86,0,1,0,1,2
1132309,2371,1,11,0,46,0,0,0,1,0
1132310,2372,1,72,0,236,2,0,0,6,6
1132311,2373,0,2,0,22,0,0,0,1,1
1132312,2374,0,1,0,0,0,0,0,0,0
1132313,2375,0,0,0,0,0,0,0,0,0
1132315,2376,0,1,0,5,0,0,0,0,0
1132316,2377,1,71,2,210,1,3,0,5,2
1132400,2378,0,2,0,13,0,0,0,0,0
1132401,2379,0,130,2,325,4,0,0,11,5
1132402,2380,0,66,0,243,1,1,0,5,3
1132403,2381,0,0,0,1,0,0,0,0,0
1132404,2382,0,36,0,105,1,0,0,3,2
1132405,2383,1,128,1,330,2,7,1,6,7
1132406,2384,0,82,0,239,0,1,0,2,1
1132407,2385,0,79,1,267,2,6,0,8,13
1132408,2386,0,10,0,100,2,0,0,2,1
1132409,2387,0,28,0,89,0,0,0,0,0
1132410,2388,0,30,0,101,2,0,0,2,0
1132411,2389,0,4,0,17,0,0,1,0,0
1132412,2390,0,0,0,0,0,0,0,0,0
1132417,2391,0,5,0,18,0,0,0,0,0
1132500,2392,1,66,0,154,2,2,1,4,5
1132501,2393,0,99,1,146,0,0,1,6,4
1132502,2394,1,180,0,233,2,1,0,9,6
1132503,2395,1,256,0,315,2,3,0,12,14
1132504,2396,0,56,0,129,1,2,1,4,9
1132505,2397,1,53,0,177,6,3,0,6,2
1132506,2398,1,102,0,187,1,0,0,7,7
1132507,2399,1,117,0,225,1,0,0,18,11
1132508,2400,3,60,0,151,0,2,0,3,6
1132509,2401,0,167,0,331,5,0,1,10,9
1132510,2402,1,51,0,148,2,0,0,5,1
1132511,2403,0,83,0,183,0,2,0,5,6
1132512,2404,4,63,0,126,0,2,0,2,5
1132513,2405,0,70,0,234,0,2,0,6,3
1132514,2406,1,106,2,252,0,0,1,6,6
1132515,2407,0,31,0,42,1,0,0,3,5
1132517,2408,0,22,1,86,0,0,0,2,6
1132518,2409,3,89,3,166,0,4,0,8,7
1132519,2410,0,47,0,123,1,1,1,4,3
1132520,2411,1,86,1,168,3,4,1,3,5
1132521,2412,3,56,0,138,2,0,0,10,7
1132523,2413,1,41,0,55,0,3,0,2,1
1132601,2414,0,27,0,75,0,2,0,0,5
1132602,2415,1,49,1,129,0,2,0,6,10
1132603,2416,0,41,0,145,0,1,0,0,4
1132604,2417,0,59,0,143,2,3,0,3,3
1132605,2418,0,46,2,100,3,4,1,1,5
1132606,2419,0,42,0,74,0,1,0,3,4
1132607,2420,0,0,0,0,0,0,0,0,0
1132608,2421,0,143,0,252,2,5,0,13,2
1132609,2422,0,0,0,1,0,0,0,0,0
1132610,2423,0,0,0,0,0,0,0,0,0
1132611,2424,0,10,0,45,1,1,0,3,0
1132612,2425,0,0,0,7,0,0,0,0,0
1132613,2426,0,90,1,137,0,5,2,4,7
1132614,2427,0,2,0,1,0,1,0,0,0
1132800,2428,0,0,0,0,0,0,0,0,0
1132801,2429,1,185,1,303,2,2,1,11,7
1132802,2430,1,274,0,402,2,6,2,21,7
1132803,2431,0,102,0,170,0,1,0,10,5
1132804,2432,0,119,2,233,1,4,0,5,10
1132805,2433,2,204,1,342,2,3,1,18,10
1132806,2434,0,147,0,243,0,3,0,12,5
1132807,2435,0,128,0,203,3,3,0,10,7
1132808,2436,2,171,0,266,1,2,1,6,7
1132809,2437,0,97,1,196,0,1,0,6,4
1132810,2438,0,1,0,5,0,0,0,0,0
1132900,2439,1,144,0,323,3,2,0,7,9
1132901,2440,0,13,0,46,0,0,0,1,0
1132902,2441,0,29,0,85,0,0,0,1,2
1132903,2442,2,51,0,104,1,0,0,2,3
1132904,2443,0,0,0,0,0,0,0,0,0
1132905,2444,0,44,0,84,0,1,0,0,2
1132910,2445,1,0,0,5,0,0,0,0,0
1132911,2446,0,7,0,10,0,0,0,1,0
1132913,2447,0,0,0,2,0,0,0,0,0
113291,2448,0,0,0,0,0,0,0,0,0
1133000,2449,0,90,0,115,1,1,0,3,1
1133001,2450,0,1,0,6,0,0,0,0,0
1133002,2451,0,2,0,16,0,0,0,1,1
1133003,2452,1,7,0,32,0,0,0,1,0
1133004,2453,0,37,0,38,0,1,0,1,1
1133005,2454,0,8,0,23,0,0,0,0,2
1133006,2455,0,75,0,167,1,1,0,2,3
1133007,2456,1,38,0,71,0,1,0,1,1
1133008,2457,0,15,0,20,0,0,0,1,0
1133009,2458,0,0,0,0,0,0,0,0,0
1133010,2459,0,0,0,8,0,0,0,0,1
1133011,2460,1,23,0,35,0,1,0,0,0
1133012,2461,0,0,0,1,0,0,0,0,0
1133013,2462,0,1,0,30,0,0,0,1,1
1133014,2463,0,11,0,77,0,0,0,0,1
1133015,2464,0,0,0,11,0,0,0,0,0
1133016,2465,0,17,0,34,1,0,0,1,0
1133017,2466,0,1,0,5,0,0,0,0,0
1133018,2467,1,2,0,13,1,0,0,0,0
1133019,2468,0,1,0,2,0,0,0,0,0
1133020,2469,0,0,0,1,0,0,0,0,0
1133021,2470,0,2,0,1,0,0,0,0,0
1133022,2471,0,1,0,10,0,0,0,1,0
1133023,2472,0,2,0,5,0,0,0,0,1
1133024,2473,0,2,0,7,0,0,0,0,2
1133025,2474,0,0,0,1,0,0,0,0,0
1133026,2475,0,1,0,0,0,0,1,0,0
1133027,2476,1,0,0,6,0,0,0,0,1
1133028,2477,0,1,0,7,0,0,0,0,0
1133029,2478,0,0,0,0,0,0,0,0,0
1133030,2479,0,0,0,0,0,0,0,0,0
1133031,2480,0,0,0,23,0,0,0,0,1
1133032,2481,0,13,0,9,0,0,0,0,1
1133033,2482,0,0,0,3,0,0,0,1,0
1133034,2483,0,3,0,7,0,1,0,0,0
1133035,2484,0,1,0,9,0,0,0,1,2
1133036,2485,0,0,0,0,0,0,0,0,0
1133037,2486,0,0,0,4,0,0,0,0,1
1133038,2487,0,0,0,7,0,0,0,0,1
1133039,2488,0,4,0,13,0,0,0,0,1
1133040,2489,0,1,0,6,0,0,0,0,0
1133041,2490,0,0,0,0,0,0,0,0,0
1133042,2491,0,0,0,5,0,0,0,0,0
1133043,2492,0,0,0,8,1,0,0,0,0
1133044,2493,0,1,0,4,0,0,0,0,0
1133045,2494,0,0,0,2,0,0,0,0,0
1133046,2495,0,14,1,47,0,1,0,3,1
1133047,2496,0,3,0,60,0,2,0,3,2
1133048,2497,0,2,0,12,0,0,0,0,0
1133049,2498,0,1,0,8,0,0,0,0,2
1133050,2499,0,2,0,9,0,0,0,0,0
1133051,2500,0,2,0,3,1,0,0,0,0
1133052,2501,0,2,0,8,0,0,0,0,0
1133053,2502,0,5,0,16,0,1,0,0,2
1133054,2503,0,7,0,16,0,0,0,0,1
1133055,2504,0,10,0,29,1,0,0,0,0
1133056,2505,0,7,2,21,0,0,0,0,3
1133057,2506,0,3,0,29,0,1,0,0,1
1133058,2507,0,1,0,5,0,0,0,0,0
1133059,2508,0,0,0,4,0,0,0,0,1
1133060,2509,0,0,0,5,0,0,0,0,0
1133061,2510,0,0,0,5,0,0,0,0,0
1133062,2511,0,1,0,12,0,0,0,1,0
1133063,2512,0,6,0,23,0,1,0,0,2
1133064,2513,0,2,1,12,0,0,0,0,2
1133065,2514,0,2,0,10,0,0,0,0,1
1133066,2515,0,2,0,5,0,0,0,0,1
1133067,2516,1,0,0,6,0,0,0,0,0
1133068,2517,0,2,0,26,0,0,0,0,3
1133069,2518,0,2,0,12,0,0,0,0,0
1133070,2519,0,1,1,25,0,0,0,0,1
1133071,2520,0,1,0,10,0,0,0,0,0
1133072,2521,0,0,0,0,0,0,0,0,0
1133073,2522,0,0,0,0,0,0,0,0,0
1133074,2523,0,1,0,12,0,0,0,0,1
1133075,2524,0,2,0,6,0,0,0,0,0
1133076,2525,0,0,0,0,0,0,0,0,0
1133077,2526,1,29,1,94,0,0,0,0,3
1133078,2527,0,15,0,59,0,0,0,0,2
1133079,2528,0,1,0,14,1,0,0,0,0
1133080,2529,0,5,0,46,0,0,0,1,1
1133081,2530,0,77,0,63,0,0,0,4,2
1133082,2531,0,1,0,12,0,1,0,0,0
1133083,2532,0,3,0,45,0,0,0,0,1
1133084,2533,0,10,0,20,0,3,0,1,0
1133085,2534,0,1,0,16,1,0,0,0,0
1133086,2535,1,62,0,111,0,3,0,3,5
1133087,2536,0,0,0,0,0,0,0,0,0
1133088,2537,0,0,0,5,0,0,0,0,0
1133089,2538,0,5,0,12,0,0,0,2,2
1133090,2539,0,12,0,17,0,0,1,0,0
1133091,2540,0,0,0,0,0,0,0,0,0
1133092,2541,0,3,0,11,0,0,0,0,2
1133093,2542,0,0,0,1,0,0,0,0,0
1133094,2543,0,0,0,0,0,0,0,0,0
1133095,2544,1,57,0,64,1,2,0,0,0
1133096,2545,0,35,0,68,0,0,0,2,4
1133097,2546,0,0,0,2,0,0,0,0,0
1133098,2547,0,0,0,0,0,0,0,0,0
1133099,2548,0,0,0,2,0,0,0,0,0
113304,2549,0,0,0,0,0,0,0,0,0
113306,2550,0,0,0,0,0,0,0,0,0
113304,2551,0,0,0,0,0,0,0,0,0
113304,2552,0,0,0,0,0,0,0,0,0
113306,2553,0,0,0,0,0,0,0,0,0
1133100,2554,0,29,0,99,2,1,0,2,2
1133101,2555,0,8,0,39,0,0,1,0,1
1133102,2556,0,12,0,68,0,0,0,1,3
1133103,2557,1,18,0,84,0,0,0,2,3
1133104,2558,0,29,0,66,0,1,1,2,2
1133105,2559,0,27,0,129,0,0,0,1,2
1133106,2560,0,18,0,91,0,0,0,1,5
1133107,2561,0,10,0,53,0,0,0,0,0
1133108,2562,0,64,1,193,0,0,0,2,4
1133109,2563,0,90,0,307,2,0,0,7,10
1133110,2564,0,7,0,69,0,1,0,1,1
1133111,2565,0,0,0,0,0,0,0,0,0
1133112,2566,0,2,0,6,0,0,0,0,0
1133113,2567,0,0,0,0,0,0,0,0,0
1133114,2568,0,0,0,0,0,0,0,0,0
1133115,2569,0,17,0,59,0,1,0,0,0
1133116,2570,0,0,0,0,0,0,0,0,0
1133117,2571,0,0,0,1,0,0,0,0,1
1133119,2572,0,0,0,0,0,0,0,0,0
113314,2573,0,0,0,0,0,0,0,0,0
113315,2574,0,0,0,0,0,0,0,0,0
1133200,2575,1,56,2,168,0,0,0,6,5
1133201,2576,2,44,0,96,2,1,0,3,3
1133202,2577,1,21,0,86,1,0,0,0,4
1133203,2578,0,45,0,94,0,1,0,4,2
1133204,2579,0,42,0,135,1,0,0,4,3
1133205,2580,0,11,0,24,2,0,0,0,0
1133206,2581,0,59,0,227,1,1,0,5,11
1133207,2582,1,45,0,140,0,1,0,2,9
1133208,2583,1,24,0,74,0,1,0,5,2
1133209,2584,0,3,0,22,0,0,0,0,0
1133210,2585,0,37,0,132,1,2,1,2,4
1133211,2586,0,9,0,51,1,0,0,0,0
113320,2587,0,0,0,0,0,0,0,0,0
113321,2588,0,0,0,0,0,0,0,0,0
113321,2589,0,0,0,0,0,0,0,0,0
113320,2590,0,0,0,0,0,0,0,0,0
113321,2591,0,0,0,0,0,0,0,0,0
1133304,2592,2,55,0,168,1,0,0,3,3
1133305,2593,0,53,0,302,0,1,0,2,7
1133306,2594,0,9,0,83,0,1,0,0,1
1133307,2595,0,7,1,70,0,0,0,1,1
1133308,2596,0,24,0,78,0,0,0,4,1
1133309,2597,0,33,0,154,1,4,0,5,3
1133310,2598,0,32,0,172,0,0,0,3,1
1133311,2599,0,24,0,116,1,0,0,2,2
1133312,2600,1,41,1,173,0,0,0,2,4
1133313,2601,1,46,0,142,0,0,0,5,2
1133314,2602,0,41,0,146,0,0,1,5,3
1133315,2603,0,3,0,52,0,0,0,0,2
1133316,2604,0,28,2,169,0,2,0,0,2
1133317,2605,0,23,2,113,2,0,0,0,0
1133318,2606,0,14,0,65,0,0,0,2,0
1133319,2607,0,2,0,3,0,0,0,0,1
1133321,2608,0,0,0,0,0,0,0,0,0
1133325,2609,0,6,0,47,0,0,0,0,1
1133327,2610,0,0,0,0,0,0,0,0,0
1133328,2611,0,0,0,3,0,0,0,0,0
1133500,2612,0,150,0,474,2,1,1,8,7
1133501,2613,0,0,0,1,0,0,0,0,0
1133503,2614,1,38,1,177,0,0,0,1,1
1133504,2615,0,56,0,120,0,2,0,3,1
1133600,2616,0,21,1,44,0,0,0,1,3
1133601,2617,1,30,0,90,1,1,0,3,5
1133602,2618,2,6,0,12,0,0,0,0,2
1133603,2619,0,6,0,9,0,0,0,0,0
1133604,2620,0,19,0,105,0,0,0,0,5
1133605,2621,0,10,0,37,1,2,2,0,0
1133606,2622,0,11,0,33,2,0,0,2,0
1133607,2623,0,23,0,61,3,0,0,0,2
1133608,2624,0,10,0,37,0,0,0,1,0
1133609,2625,1,22,0,88,2,0,0,2,1
1133610,2626,0,5,0,19,1,0,0,0,0
1133611,2627,0,12,0,49,0,0,1,0,1
1133612,2628,1,22,0,93,0,0,0,0,2
1133613,2629,0,7,0,24,0,0,0,1,2
1133614,2630,0,2,0,14,0,0,0,0,0
1133615,2631,0,5,0,39,0,0,0,0,2
1133616,2632,0,1,0,13,0,0,0,0,0
1133617,2633,0,6,0,15,1,1,0,1,1
1133618,2634,0,3,0,12,0,0,0,0,0
1133619,2635,0,1,0,7,0,0,0,0,0
1133620,2636,0,5,0,32,0,0,0,2,5
1133621,2637,0,4,0,9,1,0,0,0,0
1133701,2638,0,0,0,4,0,0,0,0,0
1133702,2639,0,0,0,4,0,0,0,0,0
1133800,2640,0,9,0,47,1,0,0,0,6
1133801,2641,1,0,0,4,0,0,0,0,0
1133802,2642,0,10,0,48,0,1,0,0,4
1133803,2643,0,7,0,32,0,1,1,0,1
1133805,2644,0,15,0,38,0,1,0,1,4
1133806,2645,0,2,0,9,0,0,0,1,0
1133807,2646,0,12,0,63,0,0,0,0,1
1133808,2647,1,37,1,200,0,2,1,7,6
1133809,2648,0,2,0,11,0,0,0,0,0
1133900,2649,1,7,0,67,1,1,0,0,1
1133920,2650,2,10,1,226,1,0,0,1,1
1133921,2651,0,34,2,302,2,2,0,3,7
1133922,2652,0,3,0,2,0,0,0,0,0
1133940,2653,0,12,0,75,0,0,0,2,0
1133950,2654,1,11,0,74,0,0,0,0,0
1133951,2655,0,18,0,52,1,0,0,0,1
1133952,2656,0,1,0,6,0,0,0,0,0
1133960,2657,0,73,0,267,0,0,0,4,3
1133961,2658,0,82,1,193,0,1,0,4,5
1133962,2659,0,111,0,383,3,8,2,11,3
1133963,2660,0,29,0,188,0,2,0,4,1
1133964,2661,0,35,0,175,2,2,0,4,6
1133965,2662,4,61,0,257,1,2,0,4,5
1133966,2663,0,53,0,241,1,0,0,5,2
1133967,2664,0,20,0,120,0,0,0,4,1
1133968,2665,1,67,1,315,1,0,1,1,6
1133969,2666,1,119,1,387,0,0,0,8,10
1133970,2667,0,88,2,417,0,1,0,7,3
1133971,2668,1,53,2,222,1,0,0,2,6
1133980,2669,0,69,0,295,0,1,1,8,8
1133981,2670,0,52,1,203,2,0,1,2,2
1133982,2671,1,100,1,407,1,5,0,8,8
1133983,2672,0,59,0,245,1,1,1,11,3
1133984,2673,0,27,0,139,1,0,0,8,6
1134000,2674,0,0,0,7,0,0,0,1,0
1134001,2675,0,8,0,22,0,0,0,1,1
1134002,2676,0,42,0,46,0,0,0,3,4
1134003,2677,0,0,0,2,0,0,0,0,0
1134004,2678,0,16,0,69,1,1,0,0,3
1134005,2679,0,12,2,28,1,0,0,2,1
1134006,2680,0,44,0,54,0,1,0,4,2
1134007,2681,0,7,0,11,0,0,0,0,0
1134008,2682,0,1,0,6,0,0,0,0,0
1134009,2683,0,2,0,23,0,0,0,0,0
1134010,2684,0,47,0,76,0,0,0,4,1
1134011,2685,0,11,0,19,0,0,0,1,0
1134012,2686,0,1,0,7,0,0,0,0,0
1134013,2687,0,18,0,30,0,0,0,4,3
1134014,2688,0,180,1,217,1,2,0,5,8
1134015,2689,0,31,0,78,1,1,0,2,1
1134016,2690,0,34,0,55,0,0,0,0,1
1134017,2691,0,11,0,17,1,0,0,2,0
1134018,2692,0,38,0,78,0,1,0,4,0
1134019,2693,0,16,0,43,0,1,0,1,3
1134020,2694,0,8,0,15,0,0,0,1,0
1134021,2695,0,27,0,38,1,2,0,2,2
1134022,2696,0,9,0,21,0,1,0,0,1
1134023,2697,0,0,0,0,0,0,0,0,0
1134024,2698,0,5,0,13,0,0,0,0,0
1134025,2699,0,2,0,0,0,0,0,0,0
1134026,2700,0,0,0,4,0,0,0,0,0
1134027,2701,0,1,0,1,0,0,0,0,0
1134028,2702,0,5,0,4,0,0,0,0,0
1134029,2703,0,0,0,0,0,0,0,0,0
1134030,2704,0,0,0,0,0,0,0,0,0
1134031,2705,0,5,1,21,0,0,0,0,2
1134033,2706,1,8,0,32,0,0,0,0,0
1134035,2707,0,20,0,16,0,0,0,0,1
1134036,2708,0,3,0,15,0,0,0,0,0
1134037,2709,0,1,0,6,0,0,0,0,0
1134038,2710,0,6,0,11,0,0,0,2,1
1134039,2711,0,1,0,3,0,0,0,0,0
1134040,2712,0,0,0,4,0,0,0,0,0
1134041,2713,0,1,0,4,0,0,0,0,0
1134043,2714,0,2,0,8,0,0,0,0,0
1134044,2715,0,0,0,4,0,1,0,0,0
1134046,2716,0,1,0,10,0,0,0,0,0
1134047,2717,0,0,0,5,0,0,0,0,0
1134048,2718,0,0,0,0,0,0,0,0,0
1134049,2719,0,0,0,0,0,0,0,0,0
1134050,2720,0,87,0,134,2,3,0,3,8
1134051,2721,0,0,0,0,0,0,0,0,0
1134052,2722,1,39,1,130,0,0,0,7,2
1134053,2723,0,2,0,9,0,0,0,0,0
1134054,2724,0,1,0,6,0,0,0,0,0
1134055,2725,0,8,0,47,1,0,1,1,0
1134056,2726,0,6,0,50,0,0,0,0,1
1134057,2727,0,3,0,38,1,1,0,0,2
1134058,2728,0,5,0,26,0,0,0,0,0
1134059,2729,0,1,0,1,0,0,0,0,0
1134060,2730,0,7,0,30,0,1,0,0,1
1134061,2731,0,5,0,40,0,0,0,2,2
1134062,2732,0,0,0,30,0,1,0,0,0
1134063,2733,0,39,1,81,0,2,0,0,4
1134065,2734,0,4,0,14,0,0,0,0,0
1134066,2735,0,7,0,19,0,0,0,2,0
1134067,2736,0,10,1,53,0,1,0,1,1
1134068,2737,0,13,2,41,0,0,1,2,1
1134069,2738,0,28,0,46,1,1,0,2,1
1134070,2739,0,7,1,33,0,0,0,1,1
1134071,2740,0,0,0,4,0,0,0,0,0
1134072,2741,0,3,0,3,0,0,0,0,0
1134073,2742,2,37,0,40,0,1,0,0,1
1134074,2743,0,56,1,77,1,0,0,0,2
1134075,2744,0,11,0,14,0,0,0,0,2
1134076,2745,0,10,0,60,1,0,1,0,1
1134077,2746,0,8,0,22,0,0,0,0,3
1134078,2747,0,26,0,36,0,1,0,0,2
1134079,2748,0,130,0,193,0,2,0,3,5
1134080,2749,0,48,0,50,3,1,0,2,0
1134081,2750,1,13,1,68,0,1,1,0,0
1134082,2751,0,16,0,20,0,0,0,2,0
1134083,2752,0,6,0,13,0,0,0,1,0
1134084,2753,0,1,0,14,0,0,0,0,0
1134085,2754,2,2,0,17,0,0,0,0,1
1134086,2755,0,1,0,43,1,1,0,0,3
1134087,2756,1,1,0,10,0,0,0,0,0
1134088,2757,0,1,0,5,0,0,0,0,0
1134090,2758,0,1,0,4,0,0,0,0,0
1134091,2759,0,0,0,0,0,0,0,0,0
1134092,2760,0,3,0,3,0,0,0,0,0
1134093,2761,0,0,0,0,0,0,0,0,0
1134094,2762,0,13,0,30,0,1,0,0,0
1134095,2763,0,1,0,2,0,0,0,0,0
1134096,2764,0,1,0,1,0,0,0,0,0
1134097,2765,0,17,0,35,1,0,0,1,0
1134098,2766,0,0,0,2,0,0,0,0,0
1134099,2767,0,87,0,115,1,2,1,5,5
113402,2768,0,0,0,0,0,0,0,0,0
113403,2769,0,0,0,0,0,0,0,0,0
1134100,2770,0,1,0,1,0,0,0,0,0
1134101,2771,0,0,0,0,0,0,0,0,0
1134107,2772,0,0,0,0,0,0,0,0,0
1134108,2773,0,1,0,0,0,0,0,0,0
1134109,2774,0,0,0,0,0,0,0,0,0
1134110,2775,0,1,0,5,0,0,0,0,0
1134111,2776,0,2,0,9,0,0,0,0,0
1134112,2777,0,1,0,1,0,0,0,0,0
1134113,2778,0,10,0,48,0,0,0,1,0
1134114,2779,0,6,2,29,0,0,1,1,1
1134115,2780,0,22,0,14,0,0,0,0,0
1134116,2781,0,0,0,0,0,0,0,0,0
1134117,2782,0,0,0,1,0,0,0,0,0
1134118,2783,0,0,0,0,0,0,0,0,0
1134119,2784,0,0,0,0,0,0,0,0,0
1134120,2785,0,0,0,3,0,0,0,0,0
1134122,2786,0,0,0,0,0,0,0,0,0
1134125,2787,0,0,0,0,0,0,0,0,0
1134126,2788,0,172,0,180,1,0,0,4,12
1134127,2789,0,53,0,54,0,0,0,0,3
1134128,2790,0,136,0,133,4,3,1,3,7
1134129,2791,1,202,0,244,2,4,0,11,9
1134130,2792,0,119,0,200,4,1,0,6,7
1134131,2793,0,13,0,19,0,1,0,1,0
1134135,2794,0,14,0,19,0,0,1,2,0
1134141,2795,0,0,0,6,0,0,0,0,0
1134143,2796,0,0,0,2,0,0,0,0,0
1134145,2797,0,0,0,0,0,0,0,0,0
1134147,2798,0,0,0,2,0,0,0,0,0
1134149,2799,0,0,0,0,0,0,0,0,0
1134152,2800,0,0,0,0,0,0,0,0,0
1134153,2801,0,2,0,2,0,0,0,0,0
1134157,2802,0,0,0,6,0,0,0,0,0
1134161,2803,0,1,0,18,0,0,0,1,0
1134166,2804,0,0,0,0,0,0,0,0,0
113411,2805,0,0,0,0,0,0,0,0,0
1134300,2806,0,6,0,47,0,1,0,2,0
1134500,2807,1,28,1,143,0,0,0,1,2
1134501,2808,0,24,0,154,2,1,0,1,2
1134502,2809,0,46,0,168,1,1,0,3,4
1134503,2810,0,36,0,157,0,1,0,2,5
1134504,2811,0,9,0,76,0,1,0,3,1
1134505,2812,0,27,0,120,0,0,1,1,4
1134506,2813,0,11,0,77,0,0,0,1,0
1134507,2814,0,3,0,10,0,0,0,0,1
1134508,2815,0,1,0,21,0,0,0,0,1
1134509,2816,0,16,0,113,0,2,0,2,1
1134510,2817,0,13,0,80,3,0,1,2,1
1134511,2818,1,12,0,101,1,0,1,2,3
1134512,2819,0,9,0,75,0,0,0,0,1
1134513,2820,0,24,0,84,0,0,0,0,1
1134514,2821,0,28,0,103,0,0,0,0,1
1134515,2822,1,5,0,67,0,0,0,0,1
1134516,2823,0,0,0,0,0,0,0,0,0
1134517,2824,0,68,1,334,1,1,1,3,6
1134518,2825,1,15,0,80,0,0,0,0,1
1134519,2826,1,60,2,258,1,1,1,6,6
1134520,2827,0,6,0,30,0,0,0,2,2
1134521,2828,1,66,0,267,0,1,0,8,4
1134522,2829,2,42,1,206,0,0,0,3,4
1134523,2830,0,8,0,47,0,0,0,3,1
1134525,2831,0,7,0,58,0,0,0,1,1
1134527,2832,0,4,0,37,1,0,0,1,0
1134528,2833,0,0,0,0,0,0,0,0,0
1134529,2834,0,10,0,43,0,1,0,0,1
1134530,2835,0,0,0,3,0,0,0,0,0
1134531,2836,0,9,0,44,0,0,1,1,3
1134532,2837,0,2,1,18,0,0,0,0,0
1134533,2838,0,7,0,57,0,0,0,0,1
1134534,2839,0,2,0,6,0,0,0,0,0
1134535,2840,0,6,0,29,0,0,0,0,0
1134536,2841,0,0,0,2,0,0,0,0,0
1134537,2842,0,0,0,0,0,0,0,0,0
1134538,2843,0,3,0,29,0,0,0,0,0
1134539,2844,0,0,0,0,0,0,0,0,0
1134541,2845,0,0,0,0,0,0,0,0,0
1134542,2846,0,0,0,0,0,0,0,0,0
1134554,2847,0,0,0,2,0,0,0,0,0
1134555,2848,0,1,0,2,0,0,0,0,0
1134557,2849,0,0,0,0,0,0,0,0,0
1134558,2850,0,0,0,0,0,0,0,0,0
1134559,2851,0,0,0,0,0,0,0,0,0
1134600,2852,0,46,1,175,1,1,0,6,4
1134601,2853,2,64,0,304,0,1,1,6,4
1134602,2854,1,30,0,126,2,1,1,2,4
1134603,2855,0,0,0,2,0,0,0,0,0
1134604,2856,1,39,1,195,1,1,0,3,3
1134605,2857,0,42,0,158,0,0,1,2,4
1134606,2858,0,38,1,171,0,0,0,4,4
1134607,2859,0,11,0,66,0,0,0,0,1
1134608,2860,0,43,0,163,2,1,0,5,4
1134609,2861,0,7,0,36,1,0,0,0,0
1134610,2862,0,67,1,193,0,0,0,3,8
1134611,2863,0,20,0,99,0,4,0,1,3
1134612,2864,0,12,0,24,0,1,0,1,0
1134613,2865,0,6,0,28,0,0,0,0,0
1134614,2866,0,22,0,62,0,0,0,2,1
1134615,2867,0,2,0,13,0,0,0,0,0
1134616,2868,0,14,0,54,0,0,0,2,0
1134617,2869,0,2,0,16,0,1,0,0,0
1134618,2870,0,4,0,30,0,0,0,2,1
1134619,2871,0,48,0,138,0,2,0,4,3
1134620,2872,1,35,0,148,0,1,0,1,1
1134621,2873,0,24,0,102,0,1,0,1,5
1134622,2874,0,30,1,121,0,0,1,6,1
1134623,2875,0,25,1,124,0,0,0,1,1
1134624,2876,0,23,0,105,0,0,0,5,3
1134625,2877,0,50,0,192,0,2,0,7,5
1134626,2878,1,108,0,289,1,1,2,10,9
1134627,2879,1,97,2,209,0,5,0,8,4
1134628,2880,0,10,0,47,0,0,0,0,1
1134629,2881,0,18,2,58,1,1,0,0,0
1134630,2882,1,40,0,127,1,1,0,0,5
1134631,2883,0,24,0,103,0,2,0,3,5
1134632,2884,0,13,0,60,1,1,0,0,1
1134633,2885,0,5,0,37,0,0,0,0,0
1134634,2886,1,81,0,228,0,0,0,3,4
1134639,2887,1,6,0,14,0,0,0,0,0
1134640,2888,1,35,0,87,1,0,0,3,2
1134641,2889,0,3,0,29,0,0,0,1,2
1134642,2890,0,2,0,4,0,0,0,0,0
1134644,2891,0,0,0,0,0,0,0,0,0
1134646,2892,0,3,0,39,0,0,0,0,0
1134648,2893,1,11,0,52,0,1,0,1,2
1134649,2894,0,1,0,1,0,0,0,0,0
1134651,2895,0,0,0,0,0,0,0,0,0
1134652,2896,0,4,0,29,0,0,0,0,1
1134653,2897,0,0,0,3,0,0,0,0,0
1134654,2898,0,10,0,54,0,0,0,1,3
1134655,2899,0,4,0,4,0,1,0,0,0
1134656,2900,0,0,0,1,0,0,0,0,0
1134657,2901,0,1,0,0,0,0,0,0,0
1134658,2902,0,3,0,6,0,0,0,0,0
